ID,Nombre,Descripción,Número de Serie,ID Personalizado de Activo,Categoría Principal,Subcategoría,Uso Específico,Parque,Amenidad,Descripción de Ubicación,Latitud,Longitud,Fabricante,Modelo,Número de Serie Técnico,Material,Dimensiones/Capacidad,Fecha de Instalación,Fecha de Última Inspección,Vida Útil Estimada (años),Estado,Condición,Historial de Mantenimiento,Fecha de Adquisición,Costo de Adquisición (MXN),Valor Actual (MXN),Fuente de Financiamiento,Persona Responsable,Área Asignada,URL Manual de Mantenimiento,Políticas de Uso,Frecuencia de Mantenimiento,Fecha de Último Mantenimiento,Fecha de Próximo Mantenimiento,Vida Útil Esperada (meses),Código QR,Notas Adicionales,Fecha de Creación,Última Actualización
123456,Edificio administrativo central,Edificio administrativo central espacio de gestión y coordinación de operaciones del parque.,6543,,Edificaciones de servicio,Operativas,,Parque Ecológico Explora,,,21.1215,-101.682,SafeCity,UrbanMax,SN-33760,Acero,94 m²,18/01/23,06/06/24,20,Activo,Bueno,,06/02/17,310354,241108,Donación,Ana Torres,Administración,http://manuales.parques.org/infraestructura.pdf,Restringido en horarios nocturnos.,,08/05/24,04/11/24,60,,Plan de mejora programado.,21/10/18,09/09/25 23:20
123457,Módulo de vigilancia,Módulo de vigilancia caseta de control para seguridad y supervisión interna.,6544,,Edificaciones de servicio,Seguridad,,Parque Fundidora,,,25.675,-100.286,SafeCity,SafePlay,SN-18263,Madera,98 m²,12/10/18,26/04/22,20,En Mantenimiento,Excelente,,28/01/15,47186,38369,Patrocinio,Sofía Vargas,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Permitido solo con supervisión de personal.,,19/04/23,13/04/24,60,,Revisión anual obligatoria.,09/05/18,09/09/25 23:20
123458,Taller de mantenimiento,Taller de mantenimiento área destinada a reparaciones y conservación de activos.,6545,,Edificaciones de servicio,Operativas,,Bosque de Chapultepec,,,19.4204,-99.1819,AquaSolutions,GreenLife,SN-41596,Madera,185 m²,01/12/18,20/01/22,15,Dañado,Regular,,17/12/16,319019,240926,Concesión,Ana Torres,Administración,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,15/06/20,10/06/21,12,,Pendiente de reposición de piezas menores.,20/03/17,09/09/25 23:20
123459,Bodega de insumos,Bodega de insumos espacio para almacenar herramientas y materiales.,6546,,Edificaciones de servicio,Operativas,,Parque Tangamanga I,,,22.144,-101.019,SafeCity,GreenLife,SN-18950,Madera,90 m²,28/08/25,28/07/22,25,Retirado,Malo,,14/03/21,492280,225471,Donación,Carlos Sánchez,Jardinería,http://manuales.parques.org/mantenimientoX.pdf,Restringido en horarios nocturnos.,,01/03/21,28/08/21,12,,Requiere inspección adicional en temporada de lluvias.,11/10/19,09/09/25 23:20
123460,Centro de primeros auxilios,Centro de primeros auxilios módulo de atención médica básica para emergencias.,6547,,Edificaciones de servicio,Operativas,,Parque Metropolitano de Guadalajara,,,20.7167,-103.45,PlayTech,HydroX,SN-66517,Acero,61 m²,04/12/20,24/04/23,25,Activo,Bueno,,30/01/20,377904,250243,Donación,Juan Pérez,Seguridad,http://manuales.parques.org/mobiliario.pdf,Cumplir normas de seguridad vigentes.,,25/09/23,19/09/24,36,,Plan de mejora programado.,10/04/16,09/09/25 23:20
123461,Taquilla de acceso,Taquilla de acceso punto de control y venta de boletos de entrada.,6548,,Edificaciones de servicio,Operativas,,Parque Bicentenario,,,19.478,-99.198,GreenBuild,X100,SN-10894,Plástico,88 m²,07/02/19,16/07/25,20,En Mantenimiento,Excelente,,02/05/17,71052,29672,Donación,María López,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,07/06/20,04/12/20,120,,Requiere inspección adicional en temporada de lluvias.,29/01/20,09/09/25 23:20
123462,Cafetería concesionada,Cafetería concesionada local para venta de alimentos y bebidas.,6549,,Concesiones y servicios,Alimentos y bebidas,,Parque La Mexicana,,,19.36,-99.28,AquaSolutions,X100,SN-60246,Madera,172 m²,28/03/22,20/10/22,10,Dañado,Regular,,21/07/22,151263,70809,Donación,María López,Jardinería,http://manuales.parques.org/mobiliario.pdf,Uso exclusivo dentro del parque.,,06/09/24,01/09/25,60,,Pendiente de reposición de piezas menores.,22/11/15,09/09/25 23:20
123463,Oficina operativa,Oficina operativa espacio para administración de programas y personal.,6550,,Edificaciones de servicio,Operativas,,Parque Rufino Tamayo,,,25.65,-100.36,UrbanPlay,ProLine,SN-97017,Plástico,48 m²,22/09/23,02/06/22,10,Retirado,Malo,,27/04/15,315665,184078,Ingreso propio,Carlos Sánchez,Administración,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,09/07/24,31/12/25,36,,Activo en óptimas condiciones.,14/04/17,09/09/25 23:20
123464,Centro de control,Centro de control sala de monitoreo de sistemas del parque.,6551,,Edificaciones de servicio,Operativas,,Parque Central Ciudad Juárez,,,20.99,-89.63,GreenBuild,HydroX,SN-98224,Acero,141 m²,03/12/24,08/03/24,25,Activo,Bueno,,30/09/20,108420,53909,Presupuesto municipal,Luis Romero,Administración,http://manuales.parques.org/infraestructura.pdf,Cumplir normas de seguridad vigentes.,,22/05/21,18/11/21,24,,Revisión anual obligatoria.,20/09/16,09/09/25 23:20
123465,Sanitarios públicos,Sanitarios públicos instalaciones básicas de uso comunitario.,6552,,Edificaciones de servicio,Operativas,,Parque Guanajuato Bicentenario,,,21.02,-89.65,CityInfra,GreenLife,SN-50214,Madera,123 m²,26/08/22,23/07/22,5,En Mantenimiento,Excelente,,21/07/17,448007,143374,Concesión,Carlos Sánchez,Operación,http://manuales.parques.org/deportivo.pdf,Uso comunitario con previa reservación.,,04/08/21,31/01/22,36,,Revisión anual obligatoria.,17/09/16,09/09/25 23:20
